CNT,ST04Q01,AGE,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q05,PV1MATH,PV1READ,PV1SCIE
Mexico,0,16.0,4,4,2,2,2,2,2,420.1667,407.3698,387.9523
Mexico,0,15.58,4,4,1,1,1,2,1,432.7076,378.4998,393.2674
Mexico,0,15.58,3,3,2,2,1,1,1,638.1134,559.0979,538.7355
Mexico,0,15.33,2,4,1,1,1,1,1,399.9922,423.4087,428.4222
Mexico,0,16.17,3,4,2,1,1,2,2,446.8064,508.5753,463.7635
Mexico,0,16.17,3,3,2,2,2,1,2,455.2189,461.5813,474.9534
Mexico,1,15.83,2,3,2,1,3,2,1,476.2502,533.9392,564.1925
Mexico,1,15.33,2,3,2,2,2,2,1,302.625,386.9918,369.0228
Mexico,0,15.92,3,3,2,2,2,2,2,336.353,361.659,331.7232
Mexico,1,15.5,3,4,2,1,1,1,1,392.6702,412.3303,413.7822
Mexico,1,15.83,4,4,1,1,1,1,1,381.064,377.619,366.9713
