CNT,ST04Q01,AGE,ST57Q01,ST57Q02,ST57Q03,ST57Q05,ST57Q06,PV1MATH,PV1READ,PV1SCIE
Mexico,1,15.42,1.0,1.0,3.0,1.0,0.0,338.3783,356.0137,370.235
Mexico,1,16.08,4.0,3.0,0.0,0.0,0.0,384.9587,343.4636,354.8489
Mexico,1,15.5,8.0,3.0,0.0,2.0,4.0,427.1771,410.0268,415.9269
Mexico,1,16.17,3.0,1.0,1.0,1.0,1.0,415.4931,497.8775,400.3543
Mexico,1,15.67,4.0,2.0,0.0,1.0,2.0,495.0226,535.5278,530.0634
Mexico,0,16.17,7.0,0.0,0.0,3.0,3.0,494.01,511.7831,479.8023
Mexico,0,16.17,8.0,0.0,0.0,0.0,2.0,439.9517,421.6445,436.1619
Mexico,0,16.0,8.0,2.0,0.0,1.0,0.0,456.9325,493.3384,472.1559
Mexico,0,15.25,5.0,4.0,0.0,1.0,2.0,589.274,532.4733,603.73
Mexico,0,15.92,1.0,1.0,0.0,1.0,2.0,351.6202,346.9032,380.7721
Mexico,1,16.17,6.0,5.0,0.0,0.0,1.0,532.9568,547.6013,561.1153
Mexico,0,15.33,2.0,2.0,0.0,0.0,0.0,434.1876,429.5035,400.3543
Mexico,1,15.42,3.0,2.0,0.0,0.0,1.0,366.42,298.8234,434.5767
Mexico,0,16.0,6.0,0.0,0.0,0.0,3.0,480.6901,415.3091,396.9974
Mexico,1,15.42,3.0,0.0,0.0,1.0,2.0,504.2141,545.0595,453.7859
Mexico,0,15.5,3.0,0.0,0.0,2.0,1.0,437.1475,442.8158,478.1238
Mexico,1,15.42,2.0,1.0,0.0,1.0,1.0,377.9483,460.2272,382.0776
Mexico,1,15.67,2.0,1.0,0.0,1.0,2.0,312.5175,324.4002,302.6296
Mexico,0,15.33,6.0,3.0,1.0,1.0,2.0,427.3329,354.6019,356.5274
Mexico,1,15.92,5.0,1.0,0.0,1.0,1.0,498.7615,506.9327,428.6087
Mexico,1,15.67,10.0,4.0,0.0,3.0,5.0,441.5096,439.4163,479.9888
Mexico,0,15.25,2.0,1.0,0.0,0.0,1.0,341.2603,339.1243,327.9933
Mexico,1,16.0,3.0,2.0,2.0,0.0,1.0,501.0204,495.1769,479.0563
Mexico,1,16.0,3.0,3.0,0.0,1.0,3.0,334.4057,339.4127,410.332
Mexico,0,16.08,6.0,4.0,0.0,3.0,5.0,518.8581,530.7892,507.031
Mexico,1,15.83,6.0,6.0,5.0,2.0,2.0,435.8233,454.5082,469.7314
Mexico,1,15.75,8.0,0.0,18.0,0.0,0.0,417.8299,352.8365,414.9944
Mexico,0,15.67,2.0,0.0,1.0,0.0,0.0,428.5792,352.8376,439.8918
Mexico,1,15.83,3.0,1.0,3.0,1.0,2.0,432.9413,421.9415,438.9593
Mexico,0,15.75,5.0,0.0,0.0,0.0,2.0,344.7655,376.2544,387.2995
Mexico,1,15.58,1.0,1.0,1.0,0.0,0.0,377.3251,460.545,387.2995
Mexico,1,15.58,2.0,1.0,0.0,1.0,4.0,297.1725,298.8234,309.9963
Mexico,1,16.0,5.0,3.0,1.0,1.0,1.0,465.9682,501.5314,457.4226
